ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781172533.8806567,3.412518262863159,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,881883226,1501,20,0.0854,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172533.9807353,3.512596845626831,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,886076880,1499,26,0.11102,25,0.059775,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.0810332,3.6128947734832764,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,890313727,1501,21,0.08967,20,0.04782,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.1813662,3.7132277488708496,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,894423854,1499,21,0.08967,23,0.054993,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.2818382,3.813699722290039,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,898702188,1500,20,0.0854,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.3820467,3.9139082431793213,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,902853926,1499,26,0.11102,24,0.057384,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.4825296,4.014391183853149,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,907132697,1501,20,0.0854,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.582775,4.114636659622192,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,911326654,1500,21,0.08967,23,0.054993,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.6830947,4.214956283569336,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,915563019,1500,20,0.0854,20,0.04782,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.78332,4.315181493759155,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,919756653,1499,22,0.09394,23,0.054993,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.8833864,4.415247917175293,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,923909635,1501,21,0.08967,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172534.9835188,4.515380382537842,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,928145580,1500,21,0.08967,20,0.04782,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.0839148,4.615776300430298,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,932298104,1500,21,0.08967,22,0.052602,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.1839955,4.715857028961182,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,936533711,1499,23,0.09821,22,0.052602,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.2842665,4.8161280155181885,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,940728604,1501,20,0.0854,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.3845594,4.916420936584473,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,944964594,1500,20,0.0854,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.484971,5.016832590103149,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,949159010,1500,19,0.08113,21,0.050211,306,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.5850415,5.116903066635132,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,953394599,1499,22,0.09394,23,0.054993,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.6854756,5.217337131500244,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,957589534,1501,21,0.08967,21,0.050211,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.786013,5.317874431610107,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,961783497,1500,22,0.09394,20,0.04782,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
1781172535.8863153,5.418176889419556,C5_SPEED_1500,C5_SPEED_1500_R02_20260611_170849,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,3,0,965935968,1500,20,0.0854,19,0.045429,307,47,4270,2391,6000,,1500,,,,constant_speed,transition,0,no_load,cw,C5: 1500 rpm,servo-app/lab-0.1
