ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781162794.3816257,2.473954439163208,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,630068762,-1788,-25,-0.10675,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.4817247,2.5740535259246826,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,625068657,-1788,-25,-0.10675,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.582602,2.6749308109283447,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,620018829,-1788,-22,-0.09394,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.682862,2.775190830230713,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,615018570,-1788,-24,-0.10248,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.7833855,2.8757143020629883,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,609968823,-1788,-21,-0.08967,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.883949,2.9762778282165527,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,604918550,-1788,-25,-0.10675,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162794.9843347,3.0766634941101074,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,599918705,-1788,-20,-0.0854,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.0844004,3.176729202270508,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,594918498,-1788,-23,-0.09821,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.1848123,3.2771410942077637,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,589918677,-1788,-22,-0.09394,-25,-0.059775,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.2849169,3.3772456645965576,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,584918542,-1788,-23,-0.09821,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.3853717,3.4777004718780518,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,579918613,-1788,-21,-0.08967,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.4855924,3.577921152114868,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,574868526,-1789,-23,-0.09821,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.585737,3.678065776824951,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,569868664,-1788,-22,-0.09394,-24,-0.057384,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.6858094,3.7781381607055664,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,564768513,-1788,-22,-0.09394,-23,-0.054993,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.7859626,3.878291368484497,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,559818800,-1788,-23,-0.09821,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.8865352,3.9788639545440674,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,554818583,-1789,-24,-0.10248,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162795.9869268,4.0792555809021,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,549768704,-1788,-24,-0.10248,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.0872784,4.179607152938843,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,544768536,-1789,-25,-0.10675,-19,-0.045429,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.188593,4.280921697616577,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,539718761,-1788,-24,-0.10248,-22,-0.052602,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.289138,4.381466865539551,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,534668657,-1789,-24,-0.10248,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.3897123,4.482041120529175,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,529668708,-1788,-20,-0.0854,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.4899328,4.582261562347412,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,524618697,-1789,-24,-0.10248,-21,-0.050211,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.5902674,4.682596206665039,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,519618673,-1788,-21,-0.08967,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
1781162796.6903796,4.782708406448364,B1_ACC_DEC_SLOW,B1_ACC_DEC_SLOW_R01_20260611_142631,delta-asda-b3-e,567,RTSO|SO|OE|VE|QS,1,0,514618599,-1789,-22,-0.09394,-20,-0.04782,302,49,4270,2391,6000,,600,,,,acceleration,normal,0,no_load,cw,B1: slow acc/dec,servo-app/lab-0.1
