ts,t,experiment_id,session_id,device_id,statusword,statusword_flags,mode_display,error_code,position,velocity,current,current_A,torque,torque_Nm,dc_bus_voltage,drive_temp,rated_current,rated_torque,max_motor_speed,target_position,target_velocity,target_torque,acceleration_cmd,deceleration_cmd,regime_label,risk_label,is_artificial_anomaly,load_type,direction,operator_comment,software_version
1781173662.9626973,2.407222270965576,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425601,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.0628667,2.5073916912078857,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.1632333,2.6077582836151123,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,2,0.004782,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.2636948,2.7082197666168213,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425599,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.3639364,2.8084614276885986,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,0,0.0,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.4642918,2.9088168144226074,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425601,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.5648549,3.0093798637390137,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.6650205,3.1095454692840576,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,307,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.7652857,3.209810733795166,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425607,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
1781173663.865337,3.309861898422241,A1_HOLDING_SERVO_ON,A1_HOLDING_SERVO_ON_R02_20260611_172739,delta-asda-b3-e,1591,RTSO|SO|OE|VE|QS|TR,1,0,758425605,0,1,0.00427,1,0.002391,308,49,4270,2391,6000,,0,,,,holding,normal,0,no_load,none,"A1: Servo ON, shaft stationary",servo-app/lab-0.1
