ts,statusword,mode_display,position,velocity,torque,current,error_code,rated_current,rated_torque,max_motor_speed,dc_bus_voltage,drive_temp,current_A,torque_Nm
1776839603.1477764,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.2479668,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.3481221,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.4483159,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.5492795,1591,1,-46603348,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839603.649724,1591,1,-46603366,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839603.7500398,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839603.8505177,1591,1,-46603366,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839603.9511158,1591,1,-46603352,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.0513093,1591,1,-46603366,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.1518693,1591,1,-46603358,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.2521195,1591,1,-46603362,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.3572922,1591,1,-46603376,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839604.457581,1591,1,-46603378,0,-17,-17,0,4270,2391,6000,305,37,-0.07259,-0.040647
1776839604.5587077,1591,1,-46603372,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839604.659392,1591,1,-46603356,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839604.7594354,1591,1,-46603362,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839604.859961,1591,1,-46603352,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839604.9603932,1591,1,-46603362,0,-17,-16,0,4270,2391,6000,305,37,-0.06832,-0.040647
1776839605.0609832,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.1613667,1591,1,-46603372,0,-16,-17,0,4270,2391,6000,305,37,-0.07259,-0.038256
1776839605.2615163,1591,1,-46603356,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.3837738,1591,1,-46603404,0,-16,-15,0,4270,2391,6000,305,37,-0.06405,-0.038256
1776839605.4840732,1591,1,-46603416,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.5846417,1591,1,-46603420,0,-16,-16,0,4270,2391,6000,305,37,-0.06832,-0.038256
1776839605.6855516,1591,1,-46603410,0,-18,-17,0,4270,2391,6000,306,37,-0.07259,-0.043038
1776839605.7859392,1591,1,-46603404,0,-17,-17,0,4270,2391,6000,306,37,-0.07259,-0.040647
